M_BIOMASS;C00000
M_ACETATE_ext;C00033
M_ATP_main;C00002
M_CO2_ext;C00011
M_ETOH_ext;C00469
M_FORMATE_ext;C00058
M_GLU_ext;C19244
M_LACTATE_ext;C00186
M_NH3_ext;C01342
M_OXY_ext;C00007
M_SUCC_ext;C00042
M_ACETATE;C00033
M_ACETYL_CoA;C00024
M_ADP;C00008
M_AKG;C00026
M_ATP;C00002
M_CITRATE;C00158
M_CO2;C00011
M_CoASH;C00024
M_DHAP;C00111
M_ERYTH_4_P;C00279
M_ETOH;C00469
M_FAD;C00016
M_FADH;C01352
M_FORMATE;C00058
M_FRU_6_P;C00085
M_FRU_BIS_P;C00354
M_FUMARATE;C00122
M_GA_3P;C00661
M_GLU_6_P;C00092
M_ISOCIT;C00311
M_LACTATE;C00186
M_MALATE;C00149
M_NAD;C00003
M_NADH;C00004
M_NH3;C01342
M_OXALO;C00036
M_PEP;C00074
M_PG;C05986
M_PYR;C00022
M_RIBOSE_5_P;C00117
M_RIBULOSE_5_P;C00199
M_SED_7_P;C05382
M_SUCC;C00042
M_SUCC_CoA;C00091
M_XYL_5_P;C00231
